Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/18/2020,12:00:00 PM,AM,11360.31,11376.96,11346.22,11372.71,391.649431,30:00.0,4448620.062,7661,210.371207,2389995.028,0
10/18/2020,12:30:00 PM,AM,11372.71,11385.99,11353.42,11370.47,498.230291,00:00.0,5667603.877,8043,252.343549,2870664.635,0
10/18/2020,1:00:00 AM,AM,11370.48,11390.77,11370.38,11390.77,463.539729,30:00.0,5274430.999,6837,259.876608,2957084.989,0
10/18/2020,1:30:00 AM,AM,11390.78,11398,11378.5,11390.61,674.911233,00:00.0,7687312.49,8558,314.974466,3587414.936,0
10/18/2020,2:00:00 AM,AM,11390.62,11397,11366.22,11369.42,441.589672,30:00.0,5024028.051,7283,169.851325,1932685.619,0
10/18/2020,2:30:00 AM,AM,11369.41,11384.39,11368.3,11377.42,261.628346,00:00.0,2976166.199,4357,96.270129,1095153.845,0
10/18/2020,3:00:00 AM,AM,11377.42,11384,11371.24,11381.17,188.074433,30:00.0,2140098.714,3664,63.654924,724339.2726,0
10/18/2020,3:30:00 AM,AM,11381.17,11381.17,11364.51,11368.02,190.176869,00:00.0,2162379.778,3959,67.775258,770612.9137,0
10/18/2020,4:00:00 AM,AM,11368.02,11387.8,11367.91,11382.09,313.84321,30:00.0,3571897.288,4875,166.361632,1893353.329,0
10/18/2020,4:30:00 AM,AM,11382.09,11386.49,11366.87,11371.47,321.814583,00:00.0,3661248.151,5362,148.196613,1686175.375,0
10/18/2020,5:00:00 AM,AM,11371.35,11382.73,11369.34,11375.22,296.215942,30:00.0,3370041.238,4454,128.184009,1458343.676,0
10/18/2020,5:30:00 AM,AM,11375.22,11396.69,11375.22,11391.33,349.051877,00:00.0,3975805.834,5271,150.929407,1719033.681,0
10/18/2020,6:00:00 AM,AM,11391.33,11397.79,11381.86,11383.1,420.140522,30:00.0,4785184.706,5879,174.177809,1983813.067,0
10/18/2020,6:30:00 AM,AM,11383.11,11464.99,11383.1,11450.22,1265.802006,00:00.0,14464644.04,16145,844.860908,9651921.722,0
10/18/2020,7:00:00 AM,AM,11450.23,11458.54,11431.36,11438.66,634.460391,30:00.0,7260039.645,9780,309.080805,3536770.525,0
10/18/2020,7:30:00 AM,AM,11438.31,11456,11430.47,11455.4,531.752144,00:00.0,6083987.369,7926,322.24351,3687128.872,0
10/18/2020,8:00:00 AM,AM,11455.4,11477.96,11419.29,11425.34,883.908667,30:00.0,10114018.98,12477,412.67668,4722583.502,0
10/18/2020,8:30:00 AM,AM,11425.34,11433.45,11419.44,11429.12,375.491484,00:00.0,4290626.077,6087,221.23446,2527954.379,0
10/18/2020,9:00:00 AM,AM,11429.12,11434.81,11412.53,11432.57,432.18227,30:00.0,4938753.534,6360,226.783733,2591873.762,0
10/18/2020,9:30:00 AM,AM,11432.56,11432.57,11398.41,11406.16,516.592634,00:00.0,5896455.692,7334,199.811592,2280574.141,0
10/18/2020,10:00:00 AM,AM,11406.16,11419.97,11402.76,11417.7,464.559152,30:00.0,5301821.923,8340,249.758405,2850288.58,0
10/18/2020,10:30:00 AM,AM,11417.7,11424.95,11406.14,11420.93,417.162437,00:00.0,4763207.555,6282,178.591805,2039261.631,0
10/18/2020,11:00:00 AM,AM,11420.93,11429.9,11411.7,11426.82,332.747903,30:00.0,3800704.708,4486,194.687204,2223879.476,0
10/18/2020,11:30:00 AM,AM,11426.83,11430.05,11414.02,11420.62,345.241151,00:00.0,3943065.276,6207,158.273891,1807670.58,0
10/18/2020,12:00:00 PM,PM,11420.62,11431.47,11419.61,11426.83,329.606643,30:00.0,3765883.119,5549,148.842551,1700537.614,0
10/18/2020,12:30:00 PM,PM,11426.82,11427.62,11407.61,11417.7,410.172847,00:00.0,4682116.613,6491,214.316331,2446370.736,0
10/18/2020,1:00:00 AM,PM,11417.28,11438,11417.11,11428.03,417.893803,30:00.0,4777108.356,7116,256.477426,2931826.295,0
10/18/2020,1:30:00 AM,PM,11428.04,11441,11418.71,11438.06,404.629559,00:00.0,4625391.134,6302,179.056755,2046753.893,0
10/18/2020,2:00:00 AM,PM,11437.85,11482.24,11429.98,11459.39,1700.335958,30:00.0,19481124.48,18842,1209.657761,13861893.72,0
10/18/2020,2:30:00 AM,PM,11459.39,11470.72,11418.47,11434.73,760.591202,00:00.0,8699477.955,13386,418.109891,4782639.275,0
10/18/2020,3:00:00 AM,PM,11434.74,11443.31,11427.61,11430.17,437.210473,30:00.0,4999990.046,7622,202.648377,2317561.026,0
10/18/2020,3:30:00 AM,PM,11430.18,11461.82,11427.99,11446.68,564.220113,00:00.0,6457347.301,6900,331.795496,3797400.835,0
10/18/2020,4:00:00 AM,PM,11447.05,11452.6,11429.88,11447.25,518.288143,30:00.0,5928811.317,8288,255.594958,2923963.674,0
10/18/2020,4:30:00 AM,PM,11447.25,11464.29,11442.63,11455.83,534.309446,00:00.0,6120037.577,7643,277.8356,3182389.187,0
10/18/2020,5:00:00 AM,PM,11455.83,11457.18,11442.99,11452.23,521.31034,30:00.0,5967831.232,7568,255.152115,2920955.784,0
10/18/2020,5:30:00 AM,PM,11452.24,11468.07,11439.96,11464.75,588.593942,00:00.0,6740718.657,7245,319.123855,3654756.963,0
10/18/2020,6:00:00 AM,PM,11464.74,11478.47,11460.08,11460.97,347.806942,30:00.0,3988742.103,6627,174.964841,2006538.641,0
10/18/2020,6:30:00 AM,PM,11460.97,11465.01,11440,11440,379.004168,00:00.0,4339990.634,7234,171.090118,1959260.896,0
10/18/2020,7:00:00 AM,PM,11440.01,11449.94,11436.55,11447.77,295.709505,30:00.0,3383948.49,4590,110.478841,1264384.874,0
10/18/2020,7:30:00 AM,PM,11447.77,11447.77,11431.68,11432.24,276.588419,00:00.0,3164076.703,5327,115.566082,1322009.644,0
10/18/2020,8:00:00 AM,PM,11432.23,11436.69,11413.96,11426.91,400.237736,30:00.0,4573066.977,5366,151.910183,1735714.639,0
